pelicula;date;duracio;director;genre;autor;medi;tendencia;actors
A Christmas Story Live! (TV);2017;unknow;Alex Rudzinski;Musical;Noel Murray; The New York Times ;neutral;Maya Rudolph,Matthew Broderick,Jane Krakowski,Chris Diamantopoulos,Santino Fontana,Ana Gasteyer,Andy Walken,Jasper Randall,Laura Dickinson,Sacha Carlson,Jessica Fontana,Abigail Dylan Harrison,Artyon Celestine,Sammy Ramirez,Elie Samouhi,Chris Mann,Hayley Shukiar,Noah Baird
A Christmas Story Live! (TV);2017;unknow;Alex Rudzinski;Musical;David Rooney; The Hollywood Reporter ;positiva;Maya Rudolph,Matthew Broderick,Jane Krakowski,Chris Diamantopoulos,Santino Fontana,Ana Gasteyer,Andy Walken,Jasper Randall,Laura Dickinson,Sacha Carlson,Jessica Fontana,Abigail Dylan Harrison,Artyon Celestine,Sammy Ramirez,Elie Samouhi,Chris Mann,Hayley Shukiar,Noah Baird
A Christmas Story Live! (TV);2017;unknow;Alex Rudzinski;Musical;Kelly Lawler; USA Today ;negativa;Maya Rudolph,Matthew Broderick,Jane Krakowski,Chris Diamantopoulos,Santino Fontana,Ana Gasteyer,Andy Walken,Jasper Randall,Laura Dickinson,Sacha Carlson,Jessica Fontana,Abigail Dylan Harrison,Artyon Celestine,Sammy Ramirez,Elie Samouhi,Chris Mann,Hayley Shukiar,Noah Baird
A Christmas Story Live! (TV);2017;unknow;Alex Rudzinski;Musical;Darren Franich; Entertainment Weekly ;neutral;Maya Rudolph,Matthew Broderick,Jane Krakowski,Chris Diamantopoulos,Santino Fontana,Ana Gasteyer,Andy Walken,Jasper Randall,Laura Dickinson,Sacha Carlson,Jessica Fontana,Abigail Dylan Harrison,Artyon Celestine,Sammy Ramirez,Elie Samouhi,Chris Mann,Hayley Shukiar,Noah Baird
A Christmas Story Live! (TV);2017;unknow;Alex Rudzinski;Musical;Caroline Siede; AV Club ;neutral;Maya Rudolph,Matthew Broderick,Jane Krakowski,Chris Diamantopoulos,Santino Fontana,Ana Gasteyer,Andy Walken,Jasper Randall,Laura Dickinson,Sacha Carlson,Jessica Fontana,Abigail Dylan Harrison,Artyon Celestine,Sammy Ramirez,Elie Samouhi,Chris Mann,Hayley Shukiar,Noah Baird
A Christmas Story Live! (TV);2017;unknow;Alex Rudzinski;Musical;Hank Stuever; The Washington Post ;neutral;Maya Rudolph,Matthew Broderick,Jane Krakowski,Chris Diamantopoulos,Santino Fontana,Ana Gasteyer,Andy Walken,Jasper Randall,Laura Dickinson,Sacha Carlson,Jessica Fontana,Abigail Dylan Harrison,Artyon Celestine,Sammy Ramirez,Elie Samouhi,Chris Mann,Hayley Shukiar,Noah Baird
A Ciambra;2017;113 min.;Jonas Carpignano;Drama;Guy Lodge; Variety ;neutral;Pio Amato,Koudous Seihon,Damiano Amato,Iolanda Amato,Patrizia Amato,Susanna Amato,Francesco Pio Amato,Rocco Amato
A Ciambra;2017;113 min.;Jonas Carpignano;Drama;David Rooney; The Hollywood Reporter ;positiva;Pio Amato,Koudous Seihon,Damiano Amato,Iolanda Amato,Patrizia Amato,Susanna Amato,Francesco Pio Amato,Rocco Amato
A Ciambra;2017;113 min.;Jonas Carpignano;Drama;David Ehrlich; Indiewire ;neutral;Pio Amato,Koudous Seihon,Damiano Amato,Iolanda Amato,Patrizia Amato,Susanna Amato,Francesco Pio Amato,Rocco Amato
A Ciambra;2017;113 min.;Jonas Carpignano;Drama;Tim Grierson; Screendaily ;neutral;Pio Amato,Koudous Seihon,Damiano Amato,Iolanda Amato,Patrizia Amato,Susanna Amato,Francesco Pio Amato,Rocco Amato
